,US
0,80.0
1,80.0
2,80.0
3,80.0
4,80.0
5,77.47574528453075
6,77.3935791552932
7,75.53851426581818
8,73.88540952196225
9,71.31290200509657
10,71.23476287265416
11,69.283090281544
12,69.24206186305682
13,67.42792041189362
14,65.90622841082522
15,64.13566710685015
