,CHN
0,60.0
1,60.0
2,60.0
3,60.0
4,60.0
5,57.48306507053531
6,57.11265600998893
7,55.319756015623085
8,54.05513287980793
9,52.185673004740266
10,52.421910697394466
11,51.603919079948234
12,51.2710992171362
13,50.12553559027624
14,48.53687659491213
15,47.46049812834212
