,EU
0,80.0
1,80.0
2,80.0
3,80.0
4,80.0
5,72.72299418701289
6,72.51443579551783
7,66.50613862469334
8,62.32829613428536
9,56.82043234982177
10,56.64112334184637
11,52.57971419712443
12,52.302101441287085
13,48.26155477659896
14,44.49742584062683
15,40.879178239548054
