,LA
0,60.0
1,60.0
2,60.0
3,60.0
4,60.0
5,54.7687050967948
6,54.67134581320645
7,51.90378082515561
8,50.040217068380294
9,46.676347869873894
10,46.663736190894
11,44.55934225476348
12,44.49000269367689
13,42.3369799935392
14,39.4754710983402
15,37.64821995155193
