,US
0,80.0
1,80.0
2,80.0
3,80.0
4,80.0
5,72.58602128854137
6,72.64623358650057
7,66.88608959544503
8,62.40877693787218
9,57.24847092699133
10,57.1444649247845
11,53.186590093100946
12,53.229682548926355
13,49.50840151466224
14,45.48804072038754
15,41.84768233543376
