,JPN
0,80.0
1,80.0
2,80.0
3,80.0
4,80.0
5,77.79123661832104
6,77.63479499554731
7,75.75550985775261
8,74.1545304506904
9,71.92677356650549
10,71.85967932927606
11,70.0422019343799
12,69.90622645207623
13,68.22268035846726
14,66.80263676693505
15,64.8926233464146
