,LA
0,60.0
1,60.0
2,60.0
3,60.0
4,60.0
5,52.62508489484948
6,52.52383474055848
7,47.90431337843601
8,45.126769470741905
9,40.86947603644558
10,40.741566276662816
11,38.22798214041836
12,38.288353924437615
13,35.63156220489617
14,31.978086486580047
15,29.645560643107256
