,CHN
0,60.0
1,60.0
2,60.0
3,60.0
4,60.0
5,52.33803134016939
6,52.448570892074535
7,48.14320067614036
8,45.286569402345684
9,41.2544510257379
10,41.497741855295025
11,38.76633158872076
12,38.673536093983756
13,36.201686336133584
14,32.47913400614377
15,30.03282692036512
