,AP
0,80.0
1,80.0
2,80.0
3,80.0
4,80.0
5,72.65682659245763
6,72.28030576062987
7,67.13871310534199
8,62.7937311418706
9,57.40415715691837
10,57.54150291521921
11,53.50971302715389
12,53.765094584479414
13,49.646176348159145
14,45.64866843586732
15,41.820238331840926
