,EU
0,80.0
1,80.0
2,80.0
3,80.0
4,80.0
5,77.28977710910384
6,77.09410230460891
7,75.27214336676856
8,73.66722257890495
9,71.99332868233091
10,72.01943014318967
11,70.44690813499633
12,70.40726105712749
13,68.68685740926328
14,67.03583197794507
15,65.02707267467154
