,JPN
0,80.0
1,80.0
2,80.0
3,80.0
4,80.0
5,71.87829419936584
6,72.02726519180789
7,66.0738630285797
8,62.04545181780116
9,56.295493570782526
10,56.38195109033077
11,52.53068325384703
12,52.59513399618551
13,48.783594949483124
14,44.79809825618584
15,40.93758191664843
