,EU
0,80.0
1,80.0
2,80.0
3,80.0
4,80.0
5,74.77622060179989
6,74.93803165105949
7,70.70654908882175
8,67.69628366873367
9,63.43431232936102
10,63.446719374705474
11,60.6180967215525
12,60.623655597590165
13,57.31440013680662
14,54.18375726829262
15,51.26247579558134
