,EU
0,0.0
1,70160.0
2,162492.54663280546
3,378819.1813903012
4,629134.3673251658
5,1096212.5355746648
6,1468395.8009676617
7,1928478.5548389535
8,2507096.929211345
9,3268927.2128502135
10,4282514.836054877
11,5346457.7431140635
12,6338453.020114688
13,6597108.755076839
14,6826112.907550821
15,7053223.255128265
