,AP
0,0.0
1,90656.0
2,131089.13887273372
3,189047.07093344495
4,231618.19013914265
5,291248.48098892043
6,322962.729178077
7,359174.86132289533
8,396094.02927325777
9,436724.4222075094
10,484394.95367263496
11,526839.1528054752
12,558227.4108924401
13,563986.9560439765
14,568987.4817354394
15,577588.9099251026
