,CHN
0,0.0
1,0.0
2,89597.0
3,142490.33058526999
4,181852.04878835235
5,254161.30594230013
6,298866.1384503661
7,338089.9474741757
8,374038.818856929
9,410599.32255897747
10,453308.26424202434
11,499818.51412872365
12,552644.9409712361
13,556159.8641973429
14,557723.1012514004
15,565196.4501233823
