,JPN
0,0.0
1,6307.0
2,14522.898865597026
3,25853.93751826827
4,41803.12282864861
5,67503.82614141221
6,85546.93608669286
7,105497.11375541172
8,128026.95228548901
9,153591.79364808972
10,185775.90383289446
11,224036.1448991369
12,259735.1795703072
13,264681.82813274657
14,268243.6645875803
15,274952.7273828014
