,US
0,0.0
1,17568.0
2,40638.881167266074
3,72536.5369643972
4,119317.88265995937
5,190836.73971887314
6,241714.49528333163
7,296447.3139897378
8,357393.1831363027
9,429745.17556764407
10,519853.2188588256
11,625508.0214133065
12,731104.3211178721
13,747540.5122319263
14,759642.3746129443
15,777359.8047734441
