,AP
0,0.0
1,90656.0
2,212774.36630452017
3,495581.144971869
4,823037.4251531592
5,1434862.7169402398
6,1913239.3499619896
7,2504618.3524146075
8,3276407.1245772047
9,4252549.964173468
10,5567400.5576343825
11,6930079.480571783
12,8177668.249654841
13,8444811.090768842
14,8712458.467628703
15,8943872.619321076
