,US
0,0.0
1,17568.0
2,52295.34718847495
3,114462.66867421735
4,221767.45525337936
5,423875.0938222234
6,601311.2034396029
7,803177.3936488347
8,1042321.7315372815
9,1361496.80259752
10,1776307.1647568066
11,2301807.1213469864
12,2881903.759199727
13,2964376.206293381
14,3060771.789915307
15,3140575.7501294003
