,JPN
0,0.0
1,6307.0
2,18653.111313589205
3,40904.636980729774
4,78947.32417176556
5,149668.1389485673
6,211454.74223880313
7,282875.6992610779
8,366878.81013892643
9,481853.07770699786
10,630949.3504226127
11,824309.2715369383
12,1024768.8039876203
13,1051555.7549777369
14,1076393.9925427812
15,1117349.0309831037
