,AP
0,0.0
1,90656.0
2,171003.8284254399
3,323343.7490377576
4,466486.1858959884
5,697878.1184187315
6,856371.0729988976
7,1027112.2236210171
8,1242618.9669875205
9,1497468.1446828584
10,1791060.9808282424
11,2092189.0313071925
12,2354653.7365983673
13,2389660.877206247
14,2436232.862884506
15,2479655.758700433
