,LA
0,0.0
1,31533.0
2,94285.89378184717
3,207504.72237599213
4,401303.052809626
5,760727.537855798
6,1072373.929660705
7,1436608.4567672657
8,1888925.1497568423
9,2477602.6721019465
10,3242158.683236802
11,4241342.707707486
12,5296514.560300243
13,5457032.813886144
14,5594657.7656592885
15,5741172.401405943
