,US
0,0.0
1,17568.0
2,29214.126822263614
3,40698.535577029026
4,53283.08549864091
5,69350.14637048954
6,78684.96617020734
7,87851.81267813014
8,96574.60961866858
9,106572.56134589447
10,117546.43612688409
11,129672.87064862614
12,139470.33635837212
13,140978.9219346863
14,141270.00857525208
15,142904.69380599985
