,LA
0,0.0
1,31533.0
2,52379.01777458623
3,72883.90553296413
4,94644.83483736339
5,123049.2260268396
6,139593.82333152392
7,154889.63464962906
8,170927.2380631794
9,187414.63333340717
10,205956.86372172047
11,228298.27900250917
12,246773.66030447002
13,248371.0867396345
14,252308.85709086453
15,254933.88117014102
