,LA
0,0.0
1,31533.0
2,73107.3530919265
3,130743.69676739845
4,213555.14889520602
5,340784.08432065137
6,436674.52939834434
7,536972.1344054823
8,649418.4904440392
9,781692.0619173246
10,949586.0068580249
11,1136709.442437858
12,1326741.4225127168
13,1355702.8378350302
14,1387566.4044678712
15,1418873.0311045314
