,EU
0,0.0
1,70160.0
2,132038.96406325928
3,249713.06122404785
4,360240.614485567
5,542077.3296679496
6,668756.4384010674
7,805439.3244469246
8,967736.0612315313
9,1157187.0244883343
10,1381484.9992678177
11,1603526.2098054597
12,1784212.3521359165
13,1821469.9079204523
14,1859266.8256389527
15,1886020.8452633466
