,CHN
0,0.0
1,0.0
2,89597.0
3,194872.11883015858
4,302135.039016324
5,543681.4618017167
6,743681.987059117
7,948350.7142087303
8,1167101.9469818452
9,1409484.7260185159
10,1693434.5152197443
11,2032965.3609835366
12,2444498.959290648
13,2488189.8134030607
14,2524529.8669075505
15,2573859.8941626856
