,JPN
0,0.0
1,6307.0
2,10309.618783505432
3,14363.773238899035
4,18827.2940150685
5,24693.084388731862
6,28059.983916121982
7,31152.574603713332
8,34215.2728166434
9,37725.70264850881
10,41280.23030176916
11,45509.79686222625
12,49237.05566186578
13,49700.976768839224
14,50345.20204828547
15,50986.472987344016
