,CHN
0,0.0
1,0.0
2,89597.0
3,253115.9271732188
4,462514.86530686356
5,1017319.7118286298
6,1564917.8647820426
7,2209100.326749987
8,2957089.4937797445
9,3861322.508424684
10,5036180.041766708
11,6576034.274636759
12,8556185.207323628
13,8811057.508034708
14,9047534.065335056
15,9345420.73313936
