,EU
0,0.0
1,70160.0
2,102555.08387669452
3,147516.45701145235
4,180189.5615149894
5,225258.5369335659
6,250881.38554382388
7,277585.75315945764
8,306288.03960817255
9,335676.46336591145
10,369437.08254206594
11,398694.3167315297
12,424276.8015216127
13,426591.31295933464
14,431039.5996560588
15,433068.73825881106
