,EU
0,0.0
1,70160.0
2,134431.6204653499
3,255452.33677246925
4,368018.3173914414
5,469377.39440180553
6,507291.73157607357
7,569298.3078092295
8,686889.9625800173
9,756222.3951359539
10,916764.5770106025
11,1064916.578736106
12,1194226.9693077847
13,1098252.4964999163
14,1128228.2478553865
15,1151135.642252174
