,LA
0,0.0
1,31553.0
2,93767.05162343058
3,205689.20592838706
4,397490.5615723399
5,612058.5113605154
6,720660.6229232457
7,877710.8486626085
8,1148127.1144141713
9,1322024.2918314666
10,1726314.9771588645
11,2255864.8593729227
12,2814410.059008919
13,2448134.668345526
14,2524173.574431949
15,2594153.429411449
