,LA
0,0.0
1,31553.0
2,73639.19627932187
3,133130.43217510515
4,216315.90760079792
5,294023.3428900817
6,331225.469800511
7,377166.2268634871
8,454994.2778669218
9,500275.3439667393
10,604106.1313332976
11,725902.3828902476
12,842883.9142176803
13,771373.7130735125
14,786414.9597522606
15,799189.5812211265
