,JPN
0,0.0
1,6307.0
2,18774.878479287454
3,41319.94559298979
4,79795.50774207295
5,123558.31079061885
6,146896.9828293155
7,177802.8179722009
8,233387.13590088996
9,268892.5236770506
10,352781.0174117068
11,461823.91926230077
12,575740.040140763
13,504140.52708967717
14,522431.83214009064
15,538361.1821109751
