,US
0,0.0
1,17568.0
2,52428.543656848
3,115808.22583306135
4,225208.01697453883
5,347924.2343820712
6,413738.1448957877
7,500060.53210577293
8,648303.6794153946
9,746528.2005074553
10,976110.4034106155
11,1272514.5696583628
12,1578732.4735466335
13,1380359.2444590882
14,1422036.0897750207
15,1465208.5711865681
