,JPN
0,0.0
1,6307.0
2,10404.540776329579
3,14578.59070501746
4,19101.272979630343
5,22684.23794256759
6,24083.988823579184
7,25876.11716539347
8,28589.677573342473
9,29902.99591314142
10,33104.09619523142
11,36167.14049331292
12,39088.28885830728
13,37570.06199195185
14,37786.72298374725
15,38349.84751372739
