,US
0,0.0
1,17568.0
2,29081.510245511443
3,40591.94877011682
4,53524.411997805495
5,62857.0248292367
6,66824.4398983147
7,71126.94647138029
8,78403.01105804773
9,82247.80969732923
10,90380.0019363963
11,100204.70670946444
12,109012.48609045694
13,104034.49233809531
14,105407.35956153013
15,106422.80887109779
