,JPN
0,0.0
1,6307.0
2,14624.929331654746
3,26097.079536949055
4,41969.26939413946
5,56618.087268353695
6,63675.15752023517
7,72382.78810931336
8,86784.03734389246
9,95136.10462151568
10,114622.08488886377
11,137891.55099191808
12,160724.96928798198
13,147184.16977745926
14,149803.9978188332
15,152981.0080233781
