,CHN
0,0.0
1,0.0
2,89597.0
3,143968.6362435798
4,182531.41183009284
5,234575.16005545034
6,258190.05183127077
7,284661.66605443874
8,317148.01066488633
9,332018.3907238321
10,366877.089384022
11,405684.10036834254
12,446784.08242883324
13,427877.6357482374
14,431913.97758661804
15,436354.44520805817
