,AP
0,0.0
1,90656.0
2,131835.71187374
3,188875.5272262404
4,230941.41547327276
5,264696.25949844904
6,275618.0926972769
7,292203.00020372705
8,321021.0661853091
9,337037.43229806836
10,375329.5158155569
11,405145.21544258535
12,430299.84125940915
13,414824.2320489689
14,419578.17512284697
15,425875.77820877166
