,LA
0,0.0
1,31553.0
2,52250.08804789734
3,73032.97507719634
4,96284.4258902032
5,112886.50004427304
6,120932.78431101183
7,129662.82356175112
8,142549.38228597844
9,149997.12432470138
10,165269.5330469436
11,180660.75667868572
12,196030.73702561294
13,189146.1455100859
14,191115.59718604223
15,194131.56039505207
