,EU
0,0.0
1,70160.0
2,164861.98979569663
3,383175.0101696854
4,637419.958876235
5,902915.518952244
6,1011842.8394089558
7,1192714.7892645223
8,1559083.3841655948
9,1792689.7614793158
10,2344366.8905029316
11,2912457.1560853194
12,3445516.4740005443
13,3033368.933462078
14,3126738.1995976446
15,3228539.671799756
