,US
0,0.0
1,17568.0
2,40471.42090942164
3,72856.67464719259
4,118271.19689400979
5,161536.85679289195
6,181985.82047562615
7,208416.3316141335
8,249999.9395425833
9,274613.2323854935
10,328964.67621040274
11,396223.1739155698
12,456474.1857135742
13,418192.49346234207
14,426774.8785953461
15,433988.25653346657
