,AP
0,0.0
1,90656.0
2,171695.97215349032
3,321488.4167119459
4,464866.41041510046
5,592576.4098968246
6,639302.2983110885
7,721101.6358221712
8,862573.2969655591
9,953082.5478647124
10,1149992.536128253
11,1338965.7627023049
12,1495124.4691723867
13,1380089.82086905
14,1410765.3480856037
15,1443260.0979895918
