,AP
0,0.0
1,90656.0
2,212236.56936659914
3,494093.3981113786
4,824771.8755184961
5,1168327.1493029462
6,1313372.2622264372
7,1559519.5695254859
8,2035865.3399254284
9,2340675.4440834336
10,3066703.25573978
11,3795184.5708904536
12,4500831.809911219
13,3940428.5227271235
14,4051780.2061263905
15,4150596.927353304
