,CHN
0,0.0
1,0.0
2,89597.0
3,198265.764259085
4,307396.6707631628
5,472846.72596952424
6,569134.4940306281
7,680076.6039173282
8,831983.810757581
9,915401.1141299895
10,1103043.9734591746
11,1335857.8170795033
12,1604438.5392563757
13,1464590.7531624564
14,1493669.4259620556
15,1524299.4203729052
