,CHN
0,0.0
1,0.0
2,89597.0
3,249302.77482600455
4,455565.02038246574
5,822235.0461189784
6,1069887.1811315378
7,1374275.209321166
8,1837185.4246498775
9,2109676.810316825
10,2765288.4624056895
11,3600678.1311127176
12,4708140.918143692
13,4087142.066409172
14,4206686.921210486
15,4315685.471142321
