,EU
0,0.0
1,70160.0
2,102669.60263688886
3,146846.98664104767
4,180218.87805685838
5,205857.79280227015
6,212792.5276099241
7,225424.35893625088
8,249940.6788498111
9,263360.98207500397
10,290464.76817761746
11,313561.0213168063
12,333981.26361539424
13,320189.7990465745
14,323542.88083617034
15,325119.4686249701
