,AP
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,0.8579108273790844
6,0.7540104349625566
7,0.707873313139966
8,0.7051878160468219
9,0.6438877677186996
10,0.6444560754849759
11,0.6461604054973031
12,0.6476187856210569
13,0.5877940808723501
14,0.5885456567567022
15,0.5923912080505687
