,LA
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,0.849381204728865
6,0.7471756076515838
7,0.6938061328625839
8,0.6955962094050773
9,0.6349379363784773
10,0.6368386552907408
11,0.6349055831756598
12,0.6352067234807519
13,0.5742257713078422
14,0.5728084366444901
15,0.5757000777990078
