,AP
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,0.9224218706177906
6,0.8745818598544932
7,0.8437909511726438
8,0.845119570764905
9,0.8123010280392873
10,0.8126426803112959
11,0.8090499502331822
12,0.8038041486709021
13,0.7659672679239498
14,0.7630480848237263
15,0.764249405712863
