,US
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,0.7727896645014576
6,0.6376328047554293
7,0.57086345249493
8,0.572251217570215
9,0.49810556439847253
10,0.49729521052238873
11,0.4963467953195622
12,0.49794546215579216
13,0.4292551862613418
14,0.4284920135945528
15,0.42910964686958797
