,EU
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,0.7715173253500253
6,0.6367163730754795
7,0.5742099611936152
8,0.5725436875568174
9,0.5013285754921775
10,0.49998166586602616
11,0.5015123925901048
12,0.4979847184776779
13,0.4273943446564389
14,0.42593535463033994
15,0.4265165453750745
