,LA
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,0.9283049002493113
6,0.875734312599927
7,0.848012510738366
8,0.8498554280910168
9,0.8136052618659053
10,0.8130824387324865
11,0.810775786672848
12,0.8118204831140802
13,0.7726369187723577
14,0.7739446035611416
15,0.7741383553030484
