,EU
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,0.9204843704019278
6,0.8638695344309583
7,0.8304649102677558
8,0.8302308674538975
9,0.7943868902414084
10,0.791201627494669
11,0.7901680736057155
12,0.7915545610383575
13,0.7521361016508427
14,0.7526507805178547
15,0.7548769147394726
