,EU
0,0.0
1,0.03499999999999983
2,0.06442768524803852
3,0.11894655267211524
4,0.16812167991614374
5,0.24684179985765073
6,0.2944535525087734
7,0.34588583704714837
8,0.40789747446742247
9,0.48328793416153054
10,0.5691468704646842
11,0.6490442891434519
12,0.7112213021230711
13,0.7127951533804172
14,0.714064514278687
15,0.7147764881212736
