,AP
0,0.0
1,0.03499999999999983
2,0.06520872522863483
3,0.12067267885911016
4,0.1707409536249607
5,0.24929999497286304
6,0.2970141743701938
7,0.35063365308769523
8,0.4136335408290421
9,0.48688639451645466
10,0.5736045703933206
11,0.6574543010392628
12,0.7247085179616792
13,0.7232874839052443
14,0.7257156597105713
15,0.7274434893895767
