,US
0,0.0
1,0.019999999999999664
2,0.032698819699393
3,0.04520637567515141
4,0.059109982220820416
5,0.07643284134633013
6,0.08625941130647947
7,0.09515519944382114
8,0.1039092775981271
9,0.11314552211645175
10,0.12298853501143278
11,0.13313547373454285
12,0.1427690476175248
13,0.14333095631240808
14,0.14401878824304526
15,0.14432651406167904
