,LA
0,0.0
1,0.019999999999999664
2,0.045780257063504325
3,0.08030541921834819
4,0.12843529712403512
5,0.20148085288373627
6,0.25223168507245014
7,0.30138548523840464
8,0.3541446445572892
9,0.41681724368143436
10,0.4938888481373109
11,0.5835606753647516
12,0.6681102844714927
13,0.6695572714110963
14,0.6683545720111006
15,0.6647557842597216
