,US
0,0.0
1,0.019999999999999664
2,0.04550177388879583
3,0.08035918044708368
4,0.1279003113651193
5,0.20037640536292708
6,0.25164488349295994
7,0.3031444706320913
8,0.35698312399810883
9,0.4208967262557114
10,0.49493178955183
11,0.5831182814070055
12,0.6658677928540397
13,0.6645623922900231
14,0.6616950728268457
15,0.661675171887314
