,CHN
0,0.0
1,0.0
2,0.02599999999999982
3,0.041035161709857805
4,0.05143024678026194
5,0.07097055385293255
6,0.08278827547711468
7,0.09303607736656595
8,0.10190336248970167
9,0.11023718274922957
10,0.11999180473109226
11,0.12995135866653054
12,0.14131794653966875
13,0.14209588387447258
14,0.14189357034510894
15,0.14139274147693595
