,EU
0,0.0
1,0.03499999999999983
2,0.07885482921290601
3,0.17966173959589246
4,0.2928449259907577
5,0.497336083137501
6,0.6533547582254562
7,0.8304733236668801
8,1.063166009115956
9,1.3481967819367973
10,1.7183910206549733
11,2.0917283047923134
12,2.4050157945635693
13,2.3904380192551673
14,2.3804081905140912
15,2.3782339723792276
