,review,review header,sentiments,sentiment label
409,Convience and time effective,Convenient,0.4767,Positive
410,The customer service interaction was just wonderful! They've found a longtime customer here! Keep up the great work guys!,Good customer service,0.865,Very Positive
411,I like the work they do,Good customer service,0.3612,Positive
412,Good service,Good customer service,0.4404,Positive
413,Cooperative and knowledgable staff,Professional,0.0,Neutral
414,Manager Eric Roda backs up his work and is no lazy ass,Good customer service,-0.8126,Very Negative
415,It all depends on what needs to be done,Convenient,0.0,Neutral
416,Prompt and complete service,Good customer service,0.0,Neutral
417,Price,Fair price,0.0,Neutral
418,Service,Good customer service,0.0,Neutral
419,"The employees were great at helping me understand any potential issues with my vehicle, and the customer service in general was wonderful!",Good customer service,0.8832,Very Positive
420,The staff,Courtesy,0.0,Neutral
421,I love Jiffy Lube! They always get the job done! They are so friendly opening the door for me and my family and servicing me in a timely manner,Friendly,0.872,Very Positive
422,"VERY nice, polite, friendly crew",Friendly,0.8381,Very Positive
423,The gentleman was very polite and kind when I came in and was running late in the afternoon,Courtesy,0.5667,Very Positive
424,"Fast,  efficient service",Fast/Quick/Speedy/Timely,0.4215,Positive
425,Guys were fast very nice and professional,Fast/Quick/Speedy/Timely,0.4754,Positive
426,Nice people fast service,Fast/Quick/Speedy/Timely,0.4215,Positive
427,Was told the dip stick was stuck and could not be removed to check oil level prior to service,Knowledgeable employees,-0.25,Negative
428,"Quality, timeliness (I mean 12 minutes), care, and kindness",Good customer service,0.7351,Very Positive
429,I have been using Jiffy Lube for years and all my vehicles have had no major repairs,Good customer service,-0.296,Negative
430,"Fast, convenient",Fast/Quick/Speedy/Timely,0.0,Neutral
431,Everyone was friendly and the service was quick,Friendly,0.4939,Positive
432,Friendly efficient staff,Friendly,0.7184,Very Positive
433,Always get quick and professional service,Fast/Quick/Speedy/Timely,0.0,Neutral
434,Great service,Good customer service,0.6249,Very Positive
435,I felt Larry was honest about what I needed and what I didn't need,Trustworthy,0.5106,Very Positive
436,Prompt and courteous service,Fast/Quick/Speedy/Timely,0.5106,Very Positive
437,Extremely PROFESSIONAL! knowledgable and pleasant!,Professional,0.5972,Very Positive
438,Quick service and explanation of service,Fast/Quick/Speedy/Timely,0.0,Neutral
439,"Friendly staff, quality service",Friendly,0.4939,Positive
440,Just didn't feel like a valued customer,Good customer service,-0.5448,Very Negative
441,Reputation and commitment to customers,Good customer service,0.3818,Positive
442,I like that the service man did not push me to authorize extra car maintenance's jobs,Professional,0.3612,Positive
443,Courteous and speedy service,Courtesy,0.5106,Very Positive
444,I like the convenience of no appointment quick in and out!,Fast/Quick/Speedy/Timely,0.1511,Positive
445,I am new to the area and haven't had the chance to see the competitors,Convenient,-0.1877,Negative
446,Very kind staff,Professional,0.5709,Very Positive
447,The service that goes beyond an oil change,Good customer service,0.0,Neutral
448,Good service,Good customer service,0.4404,Positive
449,"very fast, cheap, friendly",Friendly,0.5367,Very Positive
450,The hot guys number #1 and the service is always fast n the quality of work,Good customer service,0.0772,Positive
451,"The staff was friendly and knowledgeable, they were just great",Friendly,0.8074,Very Positive
452,Good service and prices and small waiting time,Good customer service,0.4404,Positive
453,Price and convience,Fair price,0.0,Neutral
454,Quick courteous service,Fast/Quick/Speedy/Timely,0.5106,Very Positive
455,Fast service no appt necessary,Fast/Quick/Speedy/Timely,-0.296,Negative
456,Price,Fair price,0.0,Neutral
457,Depends on if there are any sales/coupons for work needed,Discounts/Coupons,0.0,Neutral
458,convenience and speed,Convenient,0.0,Neutral
459,I was very I satisfied that the last time I was there after visiting several times prior I was finally told about the Top Off deal Jiffy Lube offers,Discounts/Coupons,0.5984,Very Positive
460,Quickness of service and price,Fast/Quick/Speedy/Timely,0.0,Neutral
461,"speed,kindness",Fast/Quick/Speedy/Timely,0.0,Neutral
462,Fast and friendly service,Friendly,0.4939,Positive
463,"Friendly, honest service",Friendly,0.7579,Very Positive
464,Always quick and job is done well,Fast/Quick/Speedy/Timely,0.2732,Positive
465,I enjoy the prompt and courteous treatment by your knowledgeable staff,Knowledgeable employees,0.7579,Very Positive
466,the speed and quality of the service,Fast/Quick/Speedy/Timely,0.0,Neutral
467,"Overall Customer Service, from start to finish",Good customer service,0.0,Neutral
468,"They were very quick friendly, quick and did a great job",Friendly,0.8214,Very Positive
469,Everyone is professional and friendly,Professional,0.4939,Positive
470,price,Fair price,0.0,Neutral
471,Great work and fast,Good customer service,0.6249,Very Positive
472,The staff was efficient and courteous,Good customer service,0.7269,Very Positive
473,Excellent customer service and prompt service,Good customer service,0.5719,Very Positive
474,Will return for oil changes,Have equipment needed,0.0,Neutral
475,Depends on the service in question,Convenient,0.0,Neutral
476,Convenience,Convenient,0.0,Neutral
477,"Great value & convenience, plus services well performed",Value,0.8225,Very Positive
478,Fast service and reasonable price,Fast/Quick/Speedy/Timely,0.0,Neutral
479,Depends on the specific service needed,Good customer service,0.0,Neutral
480,Great customer service & short wait time,Good customer service,0.6249,Very Positive
481,Clean and courteous keeps me coming back,Courtesy,0.7184,Very Positive
482,Some things,Other,0.0,Neutral
483,I'll return just at a different time because it was very crowded so my wait took a little longer than expected,Close to home,0.0,Neutral
484,The customer service,Good customer service,0.0,Neutral
485,Good customer service,Good customer service,0.4404,Positive
486,Great customer service,Good customer service,0.6249,Very Positive
487,The person who helped and reviewed my cars analysis was very thorough and helpful,Knowledgeable employees,0.4703,Positive
488,I usually just get oil changes and small things done at Jiffy Lube due to convienence I have a mechanic for all other things,Convenient,0.0,Neutral
489,tire check,Other,0.0,Neutral
490,Staff was knowledgeable and very courteous,Knowledgeable employees,0.5563,Very Positive
491,"Great service, staff very helpful and I just appreciate the attention to detail",Good customer service,0.8718,Very Positive
492,"Friendly greeting, coffee,  tv :-)",Friendly,0.7964,Very Positive
493,Theirron friendly and professional,Friendly,0.4939,Positive
494,Manners the employees use even as simply holding a door for each customer sure don't see that anymore good job,Good customer service,0.6369,Very Positive
495,The service was quick and excellent,Fast/Quick/Speedy/Timely,0.5719,Very Positive
496,From the greeting to my departing from jiffy lube,Good customer service,0.3818,Positive
497,The pp were so nice!!!!,Good customer service,0.0,Neutral
498,Good fast service,Good customer service,0.4404,Positive
499,The knowledge that the staff had was impressive and the way they treated me was excellent,Good customer service,0.7906,Very Positive
500,Good service,Good customer service,0.4404,Positive
501,Timely fashion,Fast/Quick/Speedy/Timely,0.0,Neutral
502,One of the best customer service teams I have ever encountered,Good customer service,0.6369,Very Positive
503,"The staff was courteous, helpful and efficient!",Courtesy,0.8478,Very Positive
504,The courtesy & convenient a consumer given while tour vehicle is serviced,Courtesy,0.3612,Positive
505,Employees greeted me and were very attentive,Good customer service,0.2732,Positive
506,"Treated courteously, work explained thoroughly, work done quickly",Courtesy,0.0,Neutral
507,overall service,Good customer service,0.0,Neutral
508,Quick service,Fast/Quick/Speedy/Timely,0.0,Neutral
509,Fastness of service,Fast/Quick/Speedy/Timely,0.0,Neutral
510,"Price,and consistancy",Fair price,0.0,Neutral
511,The customer service was wonderful,Good customer service,0.5719,Very Positive
512,"Fast, effecient, and clean",Good customer service,0.4019,Positive
513,Mitchell is excellent in his role as the manager at the Western Blvd location in Raleigh NC,Professional,0.5719,Very Positive
514,The customer service was excellent and it always is when i visit this particular location,Good customer service,0.5719,Very Positive
515,"Free coffee, clean waiting area, nice mechanic, and speedy service",Other,0.8316,Very Positive
516,Customer service,Good customer service,0.0,Neutral
517,"Friendly staff, very accommodating and extremely helpful all around",Friendly,0.7425,Very Positive
518,The gentlemen are very attentive & curteus from the moment the customer arrives,Good customer service,0.0,Neutral
519,I was impressed with the speed of and courtesy rendered at my most recent service stop,Fast/Quick/Speedy/Timely,0.483,Positive
520,Jose is an excellent manager!,Professional,0.6114,Very Positive
521,It was done right,Good customer service,0.0,Neutral
522,Explained everything in detail to me,Knowledgeable employees,0.0,Neutral
523,Trust and knowledge,Trustworthy,0.5106,Very Positive
524,Clear explanations of work being done and associated costs,Trustworthy,0.3818,Positive
525,It was great,Good customer service,0.6249,Very Positive
526,Good service,Good customer service,0.4404,Positive
527,The service was nice,Good customer service,0.4215,Positive
528,Been going here for years ,Trustworthy,0.0,Neutral
529,Good people,Good customer service,0.4404,Positive
530,Went on a busy day and they seemed to be more interested in getting customers out the door than up selling  services,Good customer service,0.4576,Positive
531,"Very professional , they vacuumed my car and checked,double checked all fluids",Professional,0.0,Neutral
532,"Fast, friendly, and repectable staff",Friendly,0.4939,Positive
533,i try to get work done by family or friends because I can't afford much,Friendly,0.4767,Positive
534,"Unless it's a warranty issue, I would return to Jiffy Lube for maintenance",Other,0.0,Neutral
535,"The guys are great, keep track of my past service records and are very friendly and helpful - been going to the same one for over 20 years!",Friendly,0.899,Very Positive
536,The prompt service I received when I had the oil changed,Fast/Quick/Speedy/Timely,0.0,Neutral
537,Years of good service at this store,Good customer service,0.4404,Positive
538,"Quick, reliable, great customer service",Fast/Quick/Speedy/Timely,0.6249,Very Positive
539,The jiffy team is professional,Professional,0.0,Neutral
540,The team is very officiant and friendly,Friendly,0.5367,Very Positive
541,"Nice people, quick service",Fast/Quick/Speedy/Timely,0.4215,Positive
542,I like that I was there for only 30 minutes,Fast/Quick/Speedy/Timely,0.3612,Positive
543,Yes the gentlemen who waited on me were very pleasant and had a wonderful smile last name was Boone,Courtesy,0.9099,Very Positive
544,Fast and reasonably priced,Fast/Quick/Speedy/Timely,0.0,Neutral
545,do to the nature of thier going out the made excellent Customer service to at least accommodate myself and 2 other customer's,Good customer service,0.5719,Very Positive
546,I appreciate the attention that I got and the communication of the staff,Courtesy,0.4019,Positive
547,Clean,Other,0.4019,Positive
548,The customer service was great and there was no wait,Good customer service,0.4404,Positive
549,Previous experience,Good customer service,0.0,Neutral
550,"Quick, efficient service - very polite",Fast/Quick/Speedy/Timely,0.4215,Positive
551,Pricing,Fair price,0.0,Neutral
552,Good service and reasonable prices,Good customer service,0.4404,Positive
553,I've been coming there for a while,Other,0.0,Neutral
554,Fast and convenient to work,Fast/Quick/Speedy/Timely,0.0,Neutral
555,Friendly and courteous,Friendly,0.7579,Very Positive
556,"Quick, competent service",Fast/Quick/Speedy/Timely,0.3182,Positive
557,Just great and friendly service,Friendly,0.8074,Very Positive
558,Everyone was very attentive to my requirements,Professional,0.0,Neutral
559,Good service,Good customer service,0.4404,Positive
560,7 minute oil change,Fast/Quick/Speedy/Timely,0.0,Neutral
561,Good service,Good customer service,0.4404,Positive
562,The workers are very friendly and very plight,Friendly,0.5413,Very Positive
563,Super fast oil change,Fast/Quick/Speedy/Timely,0.5994,Very Positive
564,I've been going to Jiffy lube for decades,Good customer service,0.0,Neutral
565,Pretty fast turn around time,Fast/Quick/Speedy/Timely,0.4939,Positive
566,"I WILL return, is that a better answer?",Good customer service,0.4404,Positive
567,Professional and quick service,Professional,0.0,Neutral
568,Great attitude,Courtesy,0.6249,Very Positive
569,Everyone was very polite and service was quick,Good customer service,0.0,Neutral
570,Quick service!,Fast/Quick/Speedy/Timely,0.0,Neutral
571,Nice people,Friendly,0.4215,Positive
572,"They was Very Knowledgeable,Patient and VERY PROFESSIONAL",Knowledgeable employees,0.0,Neutral
573,Friendly people and knowledgable workers,Friendly,0.4939,Positive
574,The Jiffy Lube I go to always has the most friendly staff and they do a great job,Friendly,0.8221,Very Positive
575,Quick and friendly service,Fast/Quick/Speedy/Timely,0.4939,Positive
576,Thorough in checking fluids and other things,Knowledgeable employees,0.0,Neutral
577,Quick friendly service,Fast/Quick/Speedy/Timely,0.4939,Positive
578,The Woodbridge store generally does a good job and quickly,Good customer service,0.4404,Positive
579,They were polite and quick,Courtesy,0.0,Neutral
580,"Fast, friendly service",Friendly,0.4939,Positive
581,The service was outstanding,Good customer service,0.6124,Very Positive
582,"staff always well knowledgeable,and accurate when quoting a time when car is ready",Fair price,0.5574,Very Positive
583,The speedy service and how nice they treated me,Fast/Quick/Speedy/Timely,0.4215,Positive
584,Service was prompt and employees were friendly,Friendly,0.4939,Positive
585,"Cost, part availability and mechanics availability to specialty tools",Cost,0.0,Neutral
586,Loved the honesty amd being forthcoming by techs and management,Trustworthy,0.7964,Very Positive
587,I frequently use Jiffy Lube and I am always satisfied with the courteous and efficient technicians,Courtesy,0.836,Very Positive
588,Customer service,Good customer service,0.0,Neutral
589,Customer service was very good,Good customer service,0.4927,Positive
590,"I was impressed with the speedy, efficient, and friendly service I received",Fast/Quick/Speedy/Timely,0.8442,Very Positive
591,great customer service and prices,Good customer service,0.6249,Very Positive
592,Service time and convence was great,Convenient,0.6249,Very Positive
593,Audrey and her team were fast and very efficient,Fast/Quick/Speedy/Timely,0.4754,Positive
594,"Efficient, friendly service",Friendly,0.7184,Very Positive
595,Finished in a timely fashion,Fast/Quick/Speedy/Timely,0.0,Neutral
596,Good service quickly,Good customer service,0.4404,Positive
597,The team is the most reliable and shares their records of all my service calls,Professional,0.3535,Positive
598,"Great Service, excellent manager",Good customer service,0.8316,Very Positive
599,I feel the staff is educated and honest,Trustworthy,0.5106,Very Positive
600,Very friendly and my car was completed quickly,Friendly,0.5413,Very Positive
601,Prices people promptness,Fair price,0.0,Neutral
602,Great Service and Customer Service,Good customer service,0.6249,Very Positive
603,This store has treated me great,Good customer service,0.6249,Very Positive
604,The speed and care with which the oil change was completed is the best,Fast/Quick/Speedy/Timely,0.8126,Very Positive
605,Price,Fair price,0.0,Neutral
606,Yes,Other,0.4019,Positive
607,Fast and efficient,Fast/Quick/Speedy/Timely,0.4215,Positive
608,Patrick was very thorough with every detail,Knowledgeable employees,0.0,Neutral
609,Convenience,Convenient,0.0,Neutral
610,The man who told me everything that I needed didn't push me to get certain things,Professional,0.2732,Positive
611,Trustworthiness of staff; affordable,Trustworthy,0.4215,Positive
612,The staff was courteous and fast,Courtesy,0.5106,Very Positive
613,Every person I interacted with was friendly and they didn't upon try to add on any extras,Friendly,0.4939,Positive
614,Quick easy professional,Fast/Quick/Speedy/Timely,0.4404,Positive
615,thorough  professional  straight forward,Professional,0.2263,Positive
616,"I have been going to jiffy lube for about 10 years and have always been very satisfied with the service, they are very professional thorough",Professional,0.4754,Positive
617,Staff,Professional,0.0,Neutral
618,Service and workers,Good customer service,0.0,Neutral
619,Great experience,Good customer service,0.6249,Very Positive
620,Everyone was curious from when I pulled up until I left,Good customer service,0.3182,Positive
621,Quick,Fast/Quick/Speedy/Timely,0.0,Neutral
622,Service,Good customer service,0.0,Neutral
623,Quick service,Fast/Quick/Speedy/Timely,0.0,Neutral
624,Easy to get to around work,Convenient,0.4404,Positive
625,Everyone was very professional and knew what they were doing,Professional,0.0,Neutral
626,Price,Fair price,0.0,Neutral
627,Great very friendly,Friendly,0.8221,Very Positive
628,In and out very quickly,Fast/Quick/Speedy/Timely,0.0,Neutral
629,Nice employees,Professional,0.4215,Positive
630,"Customer service and prompt, quality workmanship",Good customer service,0.0,Neutral
631,I look for the most competitive price,Fair price,0.2484,Positive
632,"I liked that they told me that next time I take my car in for a repair, I should ask for a 4-wheel alignment, and then explained why they said that, and what would happen if I did nothing",Knowledgeable employees,0.4215,Positive
633,convenience,Convenient,0.0,Neutral
634,Fast courteous service,Courtesy,0.5106,Very Positive
635,guys seemed trustworthy,Trustworthy,0.5574,Very Positive
636,Good friendly service,Friendly,0.7269,Very Positive
637,Fast service always at this location,Fast/Quick/Speedy/Timely,0.0,Neutral
638,The customer service I received from the district manager,Good customer service,0.0,Neutral
639,"Good experience, staff was very professional and I was in and out in a timely matter",Good customer service,0.4588,Positive
640,It was quick,Fast/Quick/Speedy/Timely,0.0,Neutral
641,Speedy service,Fast/Quick/Speedy/Timely,0.0,Neutral
642,Sam (cashier) gave excellent service,Good customer service,0.5719,Very Positive
643,Notice new additional services are now available besides just oil change,Other,0.0,Neutral
644,Polite service and efficient well done work,Courtesy,0.5994,Very Positive
645,The staff is so friendly & honest,Friendly,0.8269,Very Positive
646,"Very professional, courteous, right on time, explained everything that needed to be done to the car",Professional,0.5542,Very Positive
647,"The guys were prompt, attentive and respectful",Good customer service,0.4588,Positive
648,Just overall friendliness of the staff,Friendly,0.4588,Positive
649,The staff was professional and efficient,Professional,0.4215,Positive
650,All involved were tuned into their jobs !!,Good customer service,0.0,Neutral
651,Not sure I trust them with full maintenance needs,Trustworthy,-0.5667,Very Negative
652,Easy and friendly service,Friendly,0.7269,Very Positive
653,Fast service,Fast/Quick/Speedy/Timely,0.0,Neutral
654,Solid and good experience from being greeted to check out,Good customer service,0.6808,Very Positive
655,Awesome service & friendly staff,Friendly,0.8074,Very Positive
656,Convenience,Convenient,0.0,Neutral
657,Guys were great and kept me up to date regarding time,Knowledgeable employees,0.6249,Very Positive
658,The manager was very detailed while explaining the options without being to pushy,Professional,0.2057,Positive
659,"Fast service,no appointment req'd",Fast/Quick/Speedy/Timely,0.0,Neutral
660,Only because I have a regular service station I use but didn't have the time yesterday,Fast/Quick/Speedy/Timely,0.0,Neutral
661,You had very good employees with service in mind and a pleasant attitude,Courtesy,0.7574,Very Positive
662,Quality Service and Techs!!,Knowledgeable employees,0.0,Neutral
663,The service was so quick and I loved that I was in and out in just under half an hour,Fast/Quick/Speedy/Timely,0.6326,Very Positive
664,Great service and fast,Good customer service,0.6249,Very Positive
665,Politeness and speed of work done by employees is exceptional,Fast/Quick/Speedy/Timely,0.0,Neutral
666,Everyone was amazing red carpet treatment,Good customer service,0.5859,Very Positive
667,People are efficient and professional,Good customer service,0.4215,Positive
668,if I'm in the area and remember to get fluids topped off,Convenient,0.0,Neutral
669,Friendly helpful staff,Friendly,0.7184,Very Positive
670,"very friendly, quick and affordable",Friendly,0.5413,Very Positive
671,Speed and ease of service,Fast/Quick/Speedy/Timely,0.3612,Positive
672,Nice people and decent service,Good customer service,0.4215,Positive
673,"the staff was extremely respectful, professional ",Courtesy,0.5095,Very Positive
674,Quick and efficient,Fast/Quick/Speedy/Timely,0.4215,Positive
675,Above and beyond service,Good customer service,0.0,Neutral
676,Swift and competent,Good customer service,0.4767,Positive
677,The Service Was Decent And Pretty quick,Good customer service,0.4939,Positive
678,Its close and the staff was courteous and experienced,Close to home,0.5106,Very Positive
679,Workers were very helpful and willing to answer any questions I had,Knowledgeable employees,0.4754,Positive
680,I always use jiffy lube,Good customer service,0.0,Neutral
681,They did a nice job and a timely manner,Good customer service,0.4215,Positive
682,Good service,Good customer service,0.4404,Positive
683,Snappy fast service,Fast/Quick/Speedy/Timely,0.0,Neutral
684,For the most part the service is relatively fast and easy to get oil change,Fast/Quick/Speedy/Timely,0.4404,Positive
685,Employees were very polite I got a very good service,Courtesy,0.4927,Positive
686,Price,Fair price,0.0,Neutral
687,We have all our work and personal vehicles done there,Good customer service,0.0,Neutral
688,Excellent service,Good customer service,0.5719,Very Positive
689,I always go to Jiffy Lube,Other,0.0,Neutral
690,I had an issue with my A/C and they looked into it for me and told me why my check engine light was on,Knowledgeable employees,0.0,Neutral
691,"Convenient,fast, they did a good job",Convenient,0.4404,Positive
692,The staff was excellent and I was greeted immediately upon pulling into the parking lot,Courtesy,0.7003,Very Positive
693,"I've gone to this place multiple times, and they're always friendly and fast",Friendly,0.4939,Positive
694,Convenience,Convenient,0.0,Neutral
695,Quick service,Fast/Quick/Speedy/Timely,0.0,Neutral
696,Fast & cheap with coupons,Fast/Quick/Speedy/Timely,0.0,Neutral
697,Jiffy Lube has been doing the majority of my maintenance in the past,Good customer service,0.0,Neutral
698,Awesome team,Professional,0.6249,Very Positive
699,customer service rep was helpful and accommodating---quick service as well!,Good customer service,0.636,Very Positive
700,Cool doodz,Friendly,0.3182,Positive
701,Excellent service and professionalism,Good customer service,0.5719,Very Positive
702,Very efficient,Good customer service,0.4754,Positive
703,No waiting,Fast/Quick/Speedy/Timely,-0.296,Negative
704,Quality mechanics for the job done,Knowledgeable employees,0.0,Neutral
705,Great service,Good customer service,0.6249,Very Positive
706,I always have a wonderful experience at this Jiffy Lube,Good customer service,0.5719,Very Positive
707,I perform routine maintenance beyond oil changes,Other,0.0,Neutral
708,Professional great customer setvice,Professional,0.6249,Very Positive
