,review,review header,sentiments,sentiment label
90,Great service!!!,Good customer service,0.7163,Very Positive
91,informative about what they were doing and very courtesy,Knowledgeable employees,0.4201,Positive
92,Cheaper than other places,Cost,0.0,Neutral
93,Great service and prices,Good customer service,0.6249,Very Positive
94,Was not aware Jiffy Lube provided service beyond oil change,Other,0.0,Neutral
95,"good service, fast",Good customer service,0.4404,Positive
96,very pleased,Good customer service,0.4927,Positive
97,Everyone was nice and smiling!,Friendly,0.7263,Very Positive
98,THe way your members went out of their way to explain things to me,Knowledgeable employees,0.0,Neutral
99,Only because one bad Apple will not ruin the tree,Other,-0.1098,Negative
100,"Professional service, did not push on extras regarding maintenance",Professional,0.0,Neutral
101,Everyone there was super friendly and helpful,Friendly,0.872,Very Positive
102,Jiffy Lube checked my air filter and my cabin filter,Good customer service,0.0,Neutral
103,"I've always gotten my oilchange with the Jiffy Lube,",Have equipment needed,0.0,Neutral
104,I have been a Jiffy Lube customer since 2001 and have always received excellent service,Good customer service,0.5719,Very Positive
105,"I usually change my own oil, but sometimes I don't have the time",Convenient,0.0,Neutral
106,The new manager,Good customer service,0.0,Neutral
107,Work was done well and fast,Good customer service,0.2732,Positive
108,Fast service,Fast/Quick/Speedy/Timely,0.0,Neutral
109,Manager's personal attention,Good customer service,0.0,Neutral
110,They always explain everything and don't try and sell me stuff I DON'T need,Professional,0.0,Neutral
111,Very pleased with the overall visit,Good customer service,0.4927,Positive
112,Very polite and professional,Professional,0.0,Neutral
113,The cost,Cost,0.0,Neutral
114,The guys were so nice and explained about my vehicle engine and how things worked,Knowledgeable employees,0.5598,Very Positive
115,"People are very nice, sales wasn't pushy at all",Friendly,0.6003,Very Positive
116,Friendly service,Friendly,0.4939,Positive
117,Very fast turn around time and professional staff,Fast/Quick/Speedy/Timely,0.0,Neutral
118,Dan is the man,Good customer service,0.0,Neutral
119,They were pleasant,Friendly,0.5106,Very Positive
120,"Great, Fast service!!!",Good customer service,0.7163,Very Positive
121,The personnel are very quick and courteous with my car and it gets a thorough work over,Fast/Quick/Speedy/Timely,0.552,Very Positive
122,They were a nice bunch of guys,Good customer service,0.4215,Positive
123,Very nice people working there,Friendly,0.4754,Positive
124,The big guy Tyler I believe was his name,Other,0.0,Neutral
125,I mostly use JL for oil changes only,Have equipment needed,0.0,Neutral
126,How friendly and fast they are at changing my oil,Friendly,0.4939,Positive
127,They had very good communication and they were willing to work with me on the price,Professional,0.4927,Positive
128,Cost,Cost,0.0,Neutral
129,Trusted employees,Trustworthy,0.4767,Positive
130,Fast service,Fast/Quick/Speedy/Timely,0.0,Neutral
131,Fast,Fast/Quick/Speedy/Timely,0.0,Neutral
132,They were very throu and went above and beyond to make sure my car got the service of needed,Courtesy,0.3182,Positive
133,I have never used jiffy lube for anything else either than oil change,Other,0.0,Neutral
134,The service,Good customer service,0.0,Neutral
135,"Everyone was very helpful, friendly and efficient",Friendly,0.8545,Very Positive
136,Very good customer service,Good customer service,0.4927,Positive
137,Fast quality service,Fast/Quick/Speedy/Timely,0.0,Neutral
138,Attendant was very professional,Professional,0.0,Neutral
139,"The staff was very attentive, but the prices are starting to become too high",Good customer service,0.0,Neutral
140,service was great and I was in and out very quickly,Good customer service,0.6249,Very Positive
141,It was great service overall!,Good customer service,0.6588,Very Positive
142,The staff was friendly and provided quick service,Friendly,0.4939,Positive
143,"The service was very good and the employees very kind, thoughtful and professional",Good customer service,0.8678,Very Positive
144,"The manager was friendly, didn't try to push additional services",Friendly,0.4939,Positive
145,availability of parts and cost,Cost,0.0,Neutral
146,Extremely friendly,Friendly,0.5413,Very Positive
147,Fast and efficient service,Good customer service,0.4215,Positive
148,Price check was competitive on some items,Fair price,0.1779,Positive
149,Everybody was super nice,Friendly,0.7717,Very Positive
150,The staff were efficient and thorough!,Good customer service,0.4753,Positive
151,"Excellent, fast service!",Good customer service,0.6114,Very Positive
152,The ease of the experience,Convenient,0.3612,Positive
153,No high pitch sales,Professional,-0.296,Negative
154,I trust them as everyone seems to be well trained,Trustworthy,0.6597,Very Positive
155,they were extremely nice,Friendly,0.4754,Positive
156,I was told about needed services and preventative information as well,Knowledgeable employees,0.2732,Positive
157,Great customer service,Good customer service,0.6249,Very Positive
158,When my vehicle needs repair generally my husband or son in law will take care of it but if I needed more than they could handle or if they didn't have time I would go back to Jiffy Lube without hesitation,Convenient,0.514,Very Positive
159,"I typically only get oil changes as Jiffy Lube, I have another mechanic that I use for other maintenance",Other,0.0,Neutral
160,Definitely I like the service,Good customer service,0.6369,Very Positive
161,Very professional!,Professional,0.0,Neutral
162,Service recieved,Good customer service,0.0,Neutral
163,Service people are very courteous and fast,Courtesy,0.5563,Very Positive
164,Good checks and notification of deficiencies,Good customer service,0.4404,Positive
165,I've used Jiffy Lube for many years and have always been satisfied with the service I received,Good customer service,0.4215,Positive
166,I appreciated that something that I've gone to mechanics for in the last yr and not been resolved was fixed during my oil Change,Good customer service,0.418,Positive
167,The prices,Fair price,0.0,Neutral
168,"Prompt, answered all questions, politeness",Knowledgeable employees,0.0,Neutral
169,Excellent service,Good customer service,0.5719,Very Positive
170,Very good customer service at this location,Good customer service,0.4927,Positive
171,I think of Jiffy lube for Oil Changes,Have equipment needed,0.0,Neutral
172,Made a mistake on oil weight and promptly corrected their mistake,Other,-0.5859,Very Negative
173,OVERALL GREETING AT REGISTER WHEN WALKED IN,Courtesy,0.3818,Positive
174,Great services,Good customer service,0.6249,Very Positive
175,Because Aj and the others guys always exceed expectations !,Good customer service,0.0,Neutral
176,the manager by the name of Kevin was very pleasant and nice,Good customer service,0.7688,Very Positive
177,"Friendly staff, no high pressure sales",Friendly,-0.0516,Negative
178,I'm recognized as a regular customer even when I drive a different vehicle,Good customer service,0.0,Neutral
179,Depends what kind of service I will need for my car,Other,0.0,Neutral
180,Very fast and courteous employees!,Fast/Quick/Speedy/Timely,0.5935,Very Positive
181,Not sure if jiffy lube would be the best price for whatever work I might need done,Fair price,0.5003,Very Positive
182,Great customer service!!!,Good customer service,0.7163,Very Positive
183,They were friendly professional and fast,Friendly,0.4939,Positive
184,Very friendly and fast service!!!,Friendly,0.6563,Very Positive
185,customer service is top notch,Good customer service,0.2023,Positive
186,Staff was excellent and very nice,Good customer service,0.7778,Very Positive
187,Good experience,Good customer service,0.4404,Positive
188,"Fast,efficient",Fast/Quick/Speedy/Timely,0.0,Neutral
189,Staff is extremely professional everytime I go  (Merritt Blvd location),Professional,0.0,Neutral
190,If I have a coupon,Discounts/Coupons,0.0,Neutral
191,Excellent service,Good customer service,0.5719,Very Positive
192,Prompt service,Fast/Quick/Speedy/Timely,0.0,Neutral
193,Great,Good customer service,0.6249,Very Positive
194,Everyone I interacted with was helpful and pleasant,Friendly,0.7269,Very Positive
